,83,123,152,178,204,230,256,282,308,334,360,386,412,438,464,478
488,6,320,116,259,365,349,493,395,499,609,478,251,355,420,393,1038
462,0,0,0,0,0,24,7,49,215,160,94,37,21,6,23,495
436,0,0,0,0,14,12,121,205,163,179,0,98,24,18,10,624
410,5,0,0,0,18,101,79,183,92,114,0,76,137,20,0,611
384,0,0,0,0,0,0,51,74,34,20,150,4,0,39,144,474
358,0,0,0,11,13,63,83,118,0,3,0,21,56,21,197,428
332,0,0,0,0,16,161,18,100,11,19,0,26,203,90,12,534
306,0,0,2,12,74,122,176,17,25,0,5,109,138,115,188,361
280,0,0,19,0,78,0,0,2,1,0,33,126,58,142,0,309
254,0,0,11,28,16,0,65,11,78,55,28,161,95,21,0,117
228,0,0,0,0,0,0,0,58,111,0,22,0,18,0,0,108
201,0,0,0,0,0,0,1,5,134,0,0,5,5,0,0,78
175,0,0,0,0,0,0,96,0,0,0,12,0,0,0,0,70
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
