,63,112,138,164,190,216,242,268,294,320,346,372,398,424,450,476,502,528,554,580,606,620
628,0,91,864,969,1542,1149,1777,823,564,1146,675,404,534,820,455,631,508,564,475,1133,1038,960
602,0,0,0,0,0,0,61,0,5,274,216,868,2580,415,1521,207,148,76,106,297,392,871
576,0,0,0,0,0,0,0,0,42,188,216,195,240,748,193,57,52,0,125,865,111,795
550,0,0,0,22,0,0,446,196,0,1,20,400,510,464,347,154,0,76,65,11,151,365
524,0,0,0,0,0,0,0,0,1,51,684,372,153,0,0,228,176,89,0,0,370,548
498,0,52,116,706,919,1095,1028,1310,1391,589,561,1175,735,886,934,1096,1325,61,46,81,287,466
472,0,0,0,0,0,246,324,312,1055,705,1609,202,593,769,245,973,1036,0,651,0,210,461
446,0,0,0,0,48,10,0,173,2149,439,437,257,366,531,578,371,847,0,380,298,1124,455
420,0,0,0,4,14,120,70,169,902,538,288,31,312,237,100,605,899,0,1426,414,418,745
394,0,0,2,0,0,251,10,152,994,297,377,79,87,17,131,473,1376,618,195,92,568,536
368,0,0,0,0,35,237,254,221,388,300,400,79,0,136,536,1453,845,249,53,0,101,933
342,0,0,0,0,39,255,433,128,185,546,574,399,128,79,403,547,1210,0,0,0,234,1089
316,0,0,0,0,3,720,397,69,172,100,44,37,309,548,139,1220,1240,0,0,0,0,1037
290,0,0,0,383,450,78,267,137,256,1,609,175,632,453,686,76,1533,0,0,0,27,810
264,0,0,131,0,466,43,20,0,51,0,422,78,724,78,479,101,949,0,0,0,29,1008
238,0,239,57,106,224,52,236,0,179,387,78,180,0,0,0,0,319,0,0,0,0,483
212,0,0,575,60,619,90,99,0,161,24,0,70,0,0,0,0,328,0,0,0,0,152
181,0,0,121,0,28,178,54,177,17,0,0,16,0,0,0,0,192,0,37,0,0,44
154,0,172,85,13,107,431,6,0,0,0,0,0,0,0,0,0,143,0,0,0,0,1
116,0,265,0,289,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
