,76,127,178,229,280,331,382,433,484,535,586,612
615,0,980,2486,2975,1360,2324,3791,3459,1574,1427,2747,2027
564,0,0,22,446,238,425,1163,1589,238,190,1214,1142
513,0,168,1618,2112,2519,1839,2253,2039,2495,582,385,1355
462,0,0,55,580,3390,3058,1894,2016,3329,619,1942,968
411,0,2,18,384,2387,1652,451,543,3004,1419,2352,1183
360,0,0,74,1159,833,1377,600,1046,4104,321,322,1999
309,0,0,836,1318,705,535,1372,1934,4154,0,27,1821
258,0,179,796,433,137,911,883,961,1717,0,29,1395
206,0,933,707,309,528,57,70,0,461,0,37,527
155,165,103,120,570,0,0,16,0,332,0,0,1
103,0,387,464,0,0,0,0,0,0,0,0,0
72,94,0,0,0,0,0,0,0,0,0,0,0
