(353, 500)
(335, 500)
(500, 375)
(500, 406)
(500, 375)
(500, 375)
(500, 333)
(500, 375)
(500, 375)
(354, 480)
(500, 324)
(500, 333)
(500, 375)
(500, 333)
(500, 375)
(334, 500)
(480, 364)
(380, 285)
(500, 375)
(500, 335)
(333, 500)
(500, 333)
(500, 375)
(332, 500)
(500, 333)
(375, 500)
(500, 356)
(500, 375)
(500, 375)
(500, 333)
(500, 375)
(500, 375)
(500, 333)
(500, 334)
(500, 375)
(500, 375)
(375, 500)
(500, 334)
(500, 375)
(500, 330)
(500, 333)
(333, 500)
(500, 375)
(500, 374)
(500, 333)
(500, 375)
(500, 375)
(500, 339)
(500, 333)
(500, 323)
(330, 500)
(500, 375)
(360, 270)
(500, 375)
(432, 256)
(500, 333)
(500, 375)
(500, 215)
(500, 375)
(500, 367)
(334, 500)
(500, 375)
(500, 333)
(500, 421)
(447, 500)
(500, 371)
(500, 375)
(500, 375)
(333, 500)
(500, 332)
(500, 334)
(500, 401)
(500, 423)
(500, 375)
(500, 333)
(500, 333)
(500, 346)
(374, 500)
(500, 333)
(500, 360)
(500, 375)
(500, 333)
(375, 500)
(500, 333)
(500, 375)
(500, 333)
(360, 500)
(500, 375)
(400, 266)
(500, 375)
(500, 333)
(500, 375)
(500, 375)
(500, 432)
(500, 375)
(500, 386)
(500, 375)
(500, 374)
(318, 480)
(500, 333)
(500, 375)
(375, 500)
(500, 375)
(394, 480)
(500, 333)
(500, 332)
(319, 480)
(500, 375)
(500, 375)
(375, 500)
(500, 375)
(500, 375)
(500, 375)
(500, 375)
(500, 375)
(449, 500)
(500, 373)
(500, 375)
(500, 264)
(500, 375)
(500, 375)
(333, 500)
(500, 375)
(500, 375)
(320, 224)
(500, 375)
(500, 375)
(500, 375)
(500, 335)
(500, 329)
(375, 500)
(500, 333)
(500, 333)
(500, 333)
(500, 375)
(500, 375)
(500, 390)
(500, 249)
(500, 375)
(500, 333)
(375, 500)
(500, 348)
(375, 500)
(500, 333)
(500, 375)
(500, 375)
(500, 375)
(375, 500)
(500, 375)
(500, 334)
(500, 322)
(500, 333)
(500, 333)
(500, 375)
(375, 500)
(500, 375)
(500, 375)
(500, 375)
(500, 375)
